% Model,plasmaBDistributionWithShielding.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 24 2021, 13:35"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,
% Length unit,m
% R,Z,real(mf.Br) (T) @ freq=1
9.0E-4,-0.12839999999999996,-0.0054570389560624315
9.0E-4,-0.126,-0.005297568360733862
9.0E-4,-0.12360000000000002,-0.0051304111868146944
9.0E-4,-0.12119999999999997,-0.004876874840118341
9.0E-4,-0.11879999999999999,-0.004619662818727772
9.0E-4,-0.11639999999999996,-0.004261122026624293
9.0E-4,-0.11399999999999998,-0.00389947400811099
9.0E-4,-0.11159999999999998,-0.0034367014696105786
9.0E-4,-0.10919999999999999,-0.002956393643382339
9.0E-4,-0.10679999999999996,-0.0023899021546785262
9.0E-4,-0.10439999999999999,-0.0017519892006558568
9.0E-4,-0.10199999999999998,-0.0011564217556232705
9.0E-4,-0.09960000000000001,-3.7000178696506767E-4
9.0E-4,-0.0972,4.739536232229724E-4
9.0E-4,-0.0948,0.0011931894773869408
9.0E-4,-0.09239999999999998,0.0021834396535050757
9.0E-4,-0.08999999999999997,0.0035296376241517047
9.0E-4,-0.0876,0.003936983937395689
9.0E-4,-0.08519999999999998,0.0051720184851622554
9.0E-4,-0.08279999999999998,0.006386419647120848
9.0E-4,-0.08039999999999997,0.007646224895755347
9.0E-4,-0.07799999999999999,0.008922911839166547
9.0E-4,-0.07559999999999999,0.009776757594240277
9.0E-4,-0.07320000000000002,0.011015125140487858
9.0E-4,-0.07079999999999997,0.012148762064882777
9.0E-4,-0.0684,0.013429529817892638
9.0E-4,-0.06599999999999999,0.013653422038523003
9.0E-4,-0.06360000000000002,0.014170659188663002
9.0E-4,-0.06119999999999998,0.014375846887726428
9.0E-4,-0.05879999999999999,0.014250134167262108
9.0E-4,-0.056399999999999964,0.013680865348124759
9.0E-4,-0.05399999999999998,0.013320682227168637
9.0E-4,-0.05159999999999998,0.01245353103625215
9.0E-4,-0.049199999999999994,0.011409860684034209
9.0E-4,-0.04679999999999995,0.010253927322171162
9.0E-4,-0.044399999999999995,0.009572838212167024
9.0E-4,-0.04199999999999998,0.008442345718407542
9.0E-4,-0.03960000000000001,0.0073809320401635155
9.0E-4,-0.0372,0.006478454376140565
9.0E-4,-0.034799999999999984,0.005834407664394242
9.0E-4,-0.032399999999999984,0.005036306844489934
9.0E-4,-0.03,0.0043254678380069455
9.0E-4,-0.0276,0.0036422624400850277
